sentence,words
"—Pues bien, ¡contrólese usted mismo!",contrólese
Así que instalaba a Nola en un pequeño salón colindante con mi despacho.,colindante
—El papel es viejo —constató Gahalowood examinando las hojas con atención.,examinando
"Ante la idea de volver a verle le había vuelto el buen humor, y en el momento de prepararse había puesto un poco de rosa en sus mejillas, para gustarle.",prepararse
"—Sí, él preguntó a quién le gustaba que se la mamasen, y como levanté la mano porque no es educado no responder cuando alguien hace una pregunta, añadió que si prefería que me la mamasen los chicos o las chicas.",mamasen
"Sobre eso, Roth tenía su propia idea: registró los documentos y me tendió un paquete de folios unidos por un trozo de banda adhesiva.",adhesiva
"—¡En efecto, no debió usted abrirla! ¡Qué derecho tenía!",debió
"Bienvenido a Aurora, señor.",Bienvenido
¿Vienes a quedarte?,quedarte
Ocultó las flores bajo el asiento para que no se viesen.,Ocultó
"Treinta y tres años después de esa escena, atormentado por los remordimientos y como si pidiese una expiación, Stern llevó a Gahalowood hasta la terraza de su casa, la misma en la que había exigido a Nola que se desnudase a petición de su chófer si quería que el amor de su vida pudiese permanecer cerca de ella.",expiación
"A su alrededor nada más que tranquilos barrios con casas de madera pintada y acogedores porches, techos de teja y jardines de césped impecablemente cuidado.",acogedores
Sylla contempló largamente esa última imagen.,largamente
"Douglas se ocupaba de inundar a los invitados de mojitos y yo me encargaba de los white russians, el único cóctel que consideraba desde siempre como decentemente bebible.",white
"Y, enmarcados, un retrato de Nola y otro de Deborah Cooper.",enmarcados
"Hecha la reserva, llamó a la agencia que alquilaba la casa.",Hecha
—No lo sé… Consejos para escritores.,Consejos
Embadurnaba las páginas sin saber realmente lo que escribía: hacía tres semanas que estaba allí y no había conseguido empezar su novela.,Embadurnaba
Alguien que pudo actuar sin que nadie se hiciese preguntas ni se extrañase de que no quisiera sacar el coche del garaje.,extrañase
—¿Has venido a instalarte en casa de Harry?,instalarte
—Nosotros no combatimos.,combatimos
"—Si fuera su hijo, ¿qué me aconsejaría?",aconsejaría
Yo nunca la creí.,creí
"Oh, Harry, ¡lléveme y allí podremos ser felices sin escondernos!",lléveme
Una especie de estúpida fraternidad.,fraternidad
"Se informó y contactó con el doctor Roger Ashcroft, en Concord, que aparentemente era uno de los mejores psiquiatras de la región.",contactó
Se le acusaba oficialmente de haber matado a Deborah Cooper y a Nola Kellergan.,acusaba
"«Goldman es un caballo desbocado», eso me ha dicho.",desbocado
Lo buscó en vano durante más de tres semanas.,buscó
¿Ese chalado?,chalado
Queda todo por hacer.,Queda
"Inmóvil sobre la acera, escrutaba las ventanas.",escrutaba
"Harry pasó por detrás de la barra y se agachó para ayudarle a recoger los trozos de cristal que flotaban en una mezcla de mostaza, mayonesa, ketchup, sirope de arce, mantequilla, azúcar y sal.",agachó
"Vamos, dímelo.",dímelo
Para que vayas al Paraíso.,Paraíso
Stern empezó negándose.,negándose
"—Cuidado, esas páginas son ante todo mis notas.",Cuidado
"Puedes decírmelo todo, estoy dispuesta a escucharlo.",escucharlo
Donde nadie nos conozca.,conozca
Fue la impresión que me dio cuando Stern me describió la escena en la que accedió a la petición de Caleb y pidió a Nola que posase desnuda.,posase
—¿Cree que podrá sacarle bajo fianza?,sacarle
"Sentados bajo la marquesina, las camisas remangadas, los dos hombres brindaban chocando sus botellines y hablando de coches.",remangadas
"Sí, algo sombrío y angustioso podría estar bien —dijo Barnaski.",angustioso
Déjame pasar! O diré que me estás acosando y te meterás en problemas.,acosando
"—¡Sobre todo no toques nada, Bobbo!",toques
El tiempo apremiaba: la sirvienta no tardaría en ir a buscarme al baño si no volvía.,sirvienta
"Continuó caminando y llegó al borde de Side Creek Lane, donde consideró que era el momento de atravesar la linde del bosque trepando por una sucesión de rocas, después atravesó prudentemente las filas de árboles, con cuidado de no arañarse ni desgarrar su bonito vestido rojo en los matorrales.",trepando
"Yo me voy a marchar, Harry, lo tengo decidido: en quince días me voy.",marchar
Escribí ideas en hojas sueltas y esbocé algunas tramas en mi ordenador.,esbocé
"Tamara estaba en la barra, reprendiendo a su hija por algo que debía de haber hecho mal.",reprendiendo
"La investigación parecía desbaratada por completo, y el juez decidió, en vista de las nuevas pruebas que habían llegado a su conocimiento, proceder a la liberación de Harry Quebert bajo fianza de medio millón de dólares.",desbaratada
Dice que ya no le llama porque se ha vuelto usted incontrolable.,incontrolable
"«¡Harry! —gritó ella—, ¡descansa un poco! ¡Ven a bañarte!».",bañarte
"La verdad, Harry, debe quedar reflejada en alguna parte.",reflejada
"Me decía: «Mi pobre Marcus, te obliga a levantarte al amanecer, ¿verdad?",levantarte
—¿Quién lo ha filtrado?,filtrado
"Cuando llegó a la intersección con la carretera, sus piernas le abandonaron; los músculos se habían enfriado en la marina, sintió que iba a sufrir calambres y estaba solo en una carretera desierta.",enfriado
"Pero no me venga sollozando como un bebé porque todavía no le han dado el Nobel, joder… Treinta años… Bah, le iba a dar yo grandes novelas… El Premio Nobel a la Estupidez, eso es lo que se merece.",sollozando
Se imaginaba que sí: ¿cómo podía conformarse con él?,conformarse
"Caía la noche, el océano brillaba: todo era magnífico.",Caía
"La estrechaba con fuerza, ella se encaramaba a él y le tranquilizaba: «¡No te preocupes, Harry querido!",encaramaba
"Los sábados servía en el Clark’s; revoloteaba entre las mesas, ligera, haciendo bailar en el aire su ondulada melena rubia.",revoloteaba
"No se inquiete, le ayudaré a encontrar su genio creador.",inquiete
"Si está usted aquí, ¿no es usted el que debería estar haciéndome preguntas?",haciéndome
—Te lo zuplico… Déjame pintadla… Ha pazado tanto tiempo…,pazado
"A su llegada a Side Creek Lane recomendó a Deborah Cooper que se encerrara en casa, mientras él y Travis se marchaban para proceder a un registro más detallado del bosque.",recomendó
Y además tenía un presentimiento: el de la elección acertada.,presentimiento
"Sus ocupantes, visiblemente muy alterados, lanzaron gritos por la ventanilla para asustarle.",ocupantes
"Sonrió, divertido, mirándome fijamente con su aspecto de pachá, como si saboreara el instante.",mirándome
"Intenté levantarme, pero me disuadió de ello.",disuadió
"Inmediatamente después de que Pinkas le hubiese dado la noticia, había conducido hasta el hospital de Montburry donde estaba ingresada.",ingresada
"—Pues bien, lo llevaremos con nosotros.",llevaremos
"David Kellergan llegó con su moto hasta la misma tumba, sin que ninguno de los presentes se atreviese a decir nada.",atreviese
"Tamara deseó que hubiese sufrido una avería en el coche, o incluso un accidente.",deseó
"Me movía como un fantasma, todavía con la ropa de deporte, sentado en la hierba contemplando las ruinas.",movía
"Estaba deseando hablarle, contarle cómo, después de su clase, había sido convocado por Pergal, hablarle de mamadas y de libertad de expresión, decirle que era el nuevo redactor jefe de la revista de la universidad y cuánto le admiraba.",admiraba
Tendremos que volvernos a ver.,volvernos
"Era un hombre disponible, y su celebridad, sus cualidades intelectuales, su fortuna y su agraciado físico lo convertían en un futuro esposo muy codiciado.",celebridad
"Deberán leerla, releerla, ¡aprenderla de memoria!",Deberán
"En fin, ¿dejaría usted que acompañara a su hija al baile de verano?",acompañara
"En la pantalla aparecieron, ante mi estupefacción, imágenes de la casa de Goose Cove y escuché al presentador decir: Es aquí, en su casa de Aurora, en New Hampshire, donde el escritor Harry Quebert ha sido detenido hoy después de que la policía desenterrara restos humanos en su propiedad.",estupefacción
—Joven —me dijo con su voz excitada y nasal mientras se agarraba a los brazos de su sillón—.,Joven
"—Lo he hablado con Barnaski, para calmarle…",calmarle
Lléveme y amémonos para siempre».,amémonos
"Pero después, leyó claramente:",claramente
—¿Sabe usted que este lago es un vertedero?,vertedero
"Hacían después un viaje en el tiempo de treinta y tres años para encontrarse en Goose Cove, donde podía verse, yaciendo en el fondo del agujero excavado por la policía, un esqueleto en posición fetal.",Hacían
Nunca se volvió a saber de ella.,volvió
"Queda todavía una incógnita en esta ecuación, y mucho me temo que nunca conseguiremos resolverla.",ecuación
Para que alimente a las gaviotas de su casa.,alimente
"Un coche le pisaba los talones y le hacía señas con el claxon sin que supiera por qué, y temió estar siendo víctima de un asalto.",claxon
"Terminada la ronda, le dieron por muerto y lo dejaron al borde de la carretera.",Terminada
"No se preocupe de la inspiración, conténtese con alinear palabras una tras otra.",alinear
—¿Y las fugas?,fugas
"Pero, para mi gran disgusto, declinó mi invitación.",declinó
Entonces cogí las cerillas de su cómoda y prendí fuego a las cortinas.,cerillas
—Robert Quinn da somníferos a su mujer para que se duerma cuando quiere estar en paz.,duerma
No necesité más para que imaginaran que yo era una gran estrella: y de la noche a la mañana me convertí en alguien.,imaginaran
"Tiró de la pesada puerta y apuntó con su linterna al interior, dividido en cuatro niveles.",Tiró
Volví al salón con unas pastas y las cocteleras.,cocteleras
No se había casado y había conservado su apellido.,apellido
—¿Has sacado la botella de champán que guardábamos para una gran ocasión?,guardábamos
"Con los derechos compré la casa, y allí sigo viviendo.",sigo
"Y como todas las mañanas, se detuvo en la marina para hacer series de flexiones.",series
"Dio algún rodeo de forma voluntaria, para que durase un poco más esa sensación de euforia.",durase
"Y poco importarán sus talentos, poco importarán sus cualidades, será para siempre «Señor Mamada» —se giró de nuevo en mi dirección—.",talentos
