sentence,words
"—Ajá —respondió Hagrid con voz ronca—. Voy a devolver la moto a Sirius. Buenas noches, profesora McGonagall, profesor Dumbledore.",ronca
"Toda la cabaña se estremeció y Harry se enderezó, mirando fijamente a la puerta. Alguien estaba fuera, llamando.",estremeció
"Los condujo hasta el límite del bosque. Levantando su farol, señaló hacia un estrecho sendero de tierra, que desaparecía entre los espesos árboles negros. Una suave brisa les levantó el cabello, mientras miraban en dirección al bosque.",Levantando
"De inmediato, la pelota negra se elevó en el aire y se lanzó contra la cara de Harry. Harry la rechazó con el bate, para impedir que le rompiera la nariz, y la mandó volando por el aire. Pasó zumbando alrededor de ellos y luego se tiró contra Wood, que se las arregló para sujetarla contra el suelo.",rechazó
"—Ahora podríamos utilizar una de esas cartas, ¿no? —dijo alegremente.",podríamos
"«Tengo que mentir —pensó, desesperado—, tengo que mirar y mentir sobre lo que veo, eso es todo.»",mentir
"—Lo que significa —gritó Dumbledore sobre la salva de aplausos, porque Ravenclaw y Hufflepuff estaban celebrando la derrota de Slytherin—, que hay que hacer un cambio en la decoración.",salva
"—Oh, ¿tú eres un prefecto, Percy? —dijo uno de los gemelos, con aire de gran sorpresa—. Tendrías que habérnoslo dicho, no teníamos idea.",habérnoslo
"En tono bajo, para que nadie más los oyera, Harry les explicó el súbito y siniestro deseo de Snape de ser árbitro de quidditch.",siniestro
"Muy cordialmente,",cordialmente
"—¡Arriba! —chilló de nuevo. Harry oyó sus pasos en dirección a la cocina, y después el roce de la sartén contra el fogón. El niño se dio la vuelta y trató de recordar el sueño que había tenido. Había sido bonito. Había una moto que volaba. Tenía la curiosa sensación de que había soñado lo mismo anteriormente.",roce
Extendió una mano gigantesca y sacudió todo el brazo de Harry,sacudió
"—En realidad, hay unas pocas cosas que queremos preguntarte —dijo Harry— sobre qué cosas más custodian la Piedra, además de Fluffy...",custodian
Era la hora de la cena. Harry había terminado de contarle a Ron todo lo sucedido cuando dejó el parque con la profesora McGonagall. Ron tenía un trozo de carne y pastel de riñón en el tenedor; pero se olvidó de llevárselo a la boca.,riñón
"—¿Y qué sucede si el que hirió al unicornio nos encuentra a nosotros primero? —dijo Malfoy, incapaz de ocultar el miedo de su voz.",hirió
—¿Explosión? ¡Me dijisteis que habían muerto en un accidente de coche!,dijisteis
"Ciento cincuenta puntos perdidos. Eso situaba a Gryffindor en el último lugar. En una noche, habían acabado con cualquier posibilidad de que Gryffindor ganara la copa de la casa. Harry sentía como si le retorcieran el estómago. ¿Cómo podrían arreglarlo?",situaba
"El que parecía el mayor de los chicos se dirigió hacia los andenes nueve y diez. Harry observaba, procurando no parpadear para no perderse nada. Pero justo cuando el muchacho llegó a la división de los dos andenes, una larga caravana de turistas pasó frente a él y, cuando se alejaron, el muchacho había desaparecido.",procurando
Percy estaba en su elemento.,elemento
"Los alumnos también pueden traer una lechuza, un gato o un sapo.",sapo
—Ajá... Es mío... Se lo compré a un griego que conocí en el bar el año pasado... y se lo presté a Dumbledore para guardar...,compré
"—Lo han provocado, profesor Snape —dijo Hagrid, sacando su gran cabeza peluda por encima del árbol—. Malfoy estaba insultando a su familia.",insultando
"Harry captó la mirada de Neville y trató de decirle, sin palabras, que aquello no era verdad, porque Neville parecía asombrado y herido. Pobre mete-patas Neville, Harry sabía lo que debía de haberle costado buscarlos en la oscuridad, para prevenirlos.",haberle
"Albus Dumbledore se había puesto de pie. Miraba con expresión radiante a los alumnos, con los brazos muy abiertos, como si nada pudiera gustarle más que verlos allí.",gustarle
"Con esas últimas palabras, el pecho de Hagrid se ensanchó. Harry y Ron miraron a Hermione con orgullo.",ensanchó
"Los gritos y los golpes parecían haber enloquecido al trol. Se volvió y se enfrentó con Ron, que estaba más cerca y no tenía manera de escapar.",enloquecido
"—Qué forma curiosa de ir a una escuela de magos, en tren. ¿Las alfombras mágicas estarán todas pinchadas?",pinchadas
"Llegaron a King's Cross a las diez y media. Tío Vernon cargó el baúl de Harry en un carrito y lo llevó por la estación. Harry pensó que era una rara amabilidad, hasta que tío Vernon se detuvo, mirando los andenes con una sonrisa perversa.",cargó
"El sol brillaba iluminando numerosos calderos, en la puerta de la tienda más cercana. «Calderos - Todos los Tamaños - Latón, Cobre, Peltre, Plata - Automáticos - Plegables», decía un rótulo que colgaba sobre ellos.",iluminando
y aprenderemos hasta que nuestros cerebros se consuman.,aprenderemos
