word,count,example_sentence,translation
de,8516,"Pasó su infancia en Ginebra, donde asistiría a la Collège Madame {{c1::de}} Staël.",
que,6234,"A mis padres Título original: La Vérité sur l’Affaire Harry Quebert Joël Dicker, 2012 Traducción: Juan Carlos Durán Romero Diseño de portada: El censor Editor digital: Titivillus ePub base r2.1 Notas [1] El término escritor fantasma, tomado del inglés ghost writer, designa a lo {{c1::que}} en literatura se denomina negro, es decir, un escritor que escribe en nombre de otro.",
la,5224,"Pasó su infancia en Ginebra, donde asistiría a {{c1::la}} Collège Madame de Staël.",
a,4721,"Pasó su infancia en Ginebra, donde asistiría {{c1::a}} la Collège Madame de Staël.",
en,3751,"Pasó su infancia {{c1::en}} Ginebra, donde asistiría a la Collège Madame de Staël.",
el,3554,A los 19 años tomó clases de actuación en la escuela de Drama en {{c1::el}} Cours Florent en París.,
y,3349,"En 2012 publicó La verdad sobre el caso Harry Quebert, galardonada con el Premio Goncourt des Lycéens, el Gran Premio de Novela de la Academia Francesa, el Premio Lire a la mejor novela en lengua francesa, {{c1::y}}, en España, fue elegida Mejor Libro del Año por los lectores de El País y mereció el Premio Qué Leer al mejor libro traducido.",
un,2309,"Traducida con gran éxito a treinta y tres idiomas, se ha convertido en {{c1::un}} fenómeno literario global.",
no,2106,Pues… ya {{c1::no}} los veo.,
se,2051,"Traducida con gran éxito a treinta y tres idiomas, {{c1::se}} ha convertido en un fenómeno literario global.",
su,1917,"Pasó {{c1::su}} infancia en Ginebra, donde asistiría a la Collège Madame de Staël.",
una,1754,"Intentémoslo: {{c1::una}} gran novela policiaca y romántica a tres tiempos −1975, 1998 y 2008− acerca del asesinato de una joven de quince años en la pequeña ciudad de Aurora, en New Hampshire.",
me,1554,"Ya no podía pasear tranquilo por las calles de Nueva York, no podía hacer jogging por Central Park sin que {{c1::me}} reconocieran y exclamaran: «¡Es Goldman, el escritor!».",
con,1395,"A los diecinueve años decidió probar suerte como escritor de ficción {{c1::con}} el cuento corto El Tigre, el cual sería reconocido con el Premio internacional para jóvenes autores francoparlantes.",
lo,1373,"A mis padres Título original: La Vérité sur l’Affaire Harry Quebert Joël Dicker, 2012 Traducción: Juan Carlos Durán Romero Diseño de portada: El censor Editor digital: Titivillus ePub base r2.1 Notas [1] El término escritor fantasma, tomado del inglés ghost writer, designa a {{c1::lo}} que en literatura se denomina negro, es decir, un escritor que escribe en nombre de otro.",
los,1370,A {{c1::los}} 19 años tomó clases de actuación en la escuela de Drama en el Cours Florent en París.,
por,1309,"En 2012 publicó La verdad sobre el caso Harry Quebert, galardonada con el Premio Goncourt des Lycéens, el Gran Premio de Novela de la Academia Francesa, el Premio Lire a la mejor novela en lengua francesa, y, en España, fue elegida Mejor Libro del Año {{c1::por}} los lectores de El País y mereció el Premio Qué Leer al mejor libro traducido.",
del,1224,Publicada en 2012 resultó ganadora {{c1::del}} Prix des Ecrivains Genevois en 2010.,
había,1222,"En el café al que solía ir en el West Village, {{c1::había}} clientes que no dudaban en sentarse a mi mesa y empezar a hablar: «Su libro me tiene atrapado, señor Goldman, es imposible dejarlo.",
para,1139,"Un año después, regresaría a Ginebra {{c1::para}} estudiar Derecho en la Université de Genève, graduándose en 2010.",
Harry,1092,"En 2012 publicó La verdad sobre el caso {{c1::Harry}} Quebert, galardonada con el Premio Goncourt des Lycéens, el Gran Premio de Novela de la Academia Francesa, el Premio Lire a la mejor novela en lengua francesa, y, en España, fue elegida Mejor Libro del Año por los lectores de El País y mereció el Premio Qué Leer al mejor libro traducido.",
le,1044,"El primero era muy bueno, pero este… He oído que {{c1::le}} dieron un millón de dólares por escribirlo… ¿Qué edad tiene?",
No,1043,¡{{c1::No}} lo sé!,
las,1034, [3] Field goal: jugada de fútbol americano que consiste en intentar marcar pateando el balón para pasarlo entre {{c1::las}} dos barras verticales de la portería.,
Nola,1023, Quién mató a {{c1::Nola}} Kellergan es la gran incógnita a desvelar en este thriller incomparable cuya experiencia de lectura escapa a cualquier tentativa de descripción.,
